file,hs_par_ms,hs_par_rss_kb,hs_par_ok,hs_par_correct,hs_n1_ms,hs_n1_rss_kb,hs_n1_ok,hs_n1_correct,lean_ms,lean_rss_kb,lean_ok,lean_correct,ratio_n1,ratio_par
DH_hack.scm,71.719833,72848,True,True,44.97237500000001,14528,True,True,161.65970800000002,39248,True,True,3.59464466797673,2.254044679663435
ab.scm,20.572582999999977,72368,True,True,19.870374999999996,13920,True,True,52.25029099999995,36436,True,True,2.629557368695858,2.5398021726294653
abc.scm,20.687542000000004,72144,True,True,19.964541999999973,13936,True,True,51.62620800000006,36420,True,True,2.5858949331269474,2.495521604258256
aik.scm,44.59691700000001,73824,True,True,44.709915999999964,14384,True,True,194.80195799999998,40324,True,True,4.35701910063978,4.368058850346088
atomic-open-closed.scm,1625.4997919999998,75184,True,True,1599.7975840000006,15632,True,True,4564.701999999998,46056,True,True,2.853299720947695,2.808183687543652
attest.scm,41.41516700000025,73888,True,True,31.44029200000098,14416,True,True,130.78983300000147,38436,True,True,4.159943330042781,3.158017761946986
auth-enc.scm,19.11120799999999,72256,True,True,19.223667000000333,13904,True,True,48.75670899999918,36492,True,True,2.5362855588373607,2.5512102113063286
auth-hash.scm,18.449207999999828,72160,True,True,19.25041699999852,13872,True,True,47.0838330000003,36524,True,True,2.445860419543323,2.5520788209445486
blanchet-strandmax.scm,30.05116699999988,73760,True,True,19.113707999999008,14304,True,True,63.512583999999705,36952,True,True,3.3228813582379204,2.1134814498218977
blanchet.scm,29.716791000000242,72816,True,True,19.140166999999764,14288,True,True,63.27583399999881,36968,True,True,3.3059185951721104,2.1292956564522156
bug_example.scm,19.089750000000905,72880,True,True,19.176542000000296,14320,True,True,55.695124999999734,36916,True,True,2.904336193668226,2.9175408268833847
cert_lang.scm,19.19604100000072,72400,True,True,19.16479200000154,14128,True,True,52.08608299999895,37564,True,True,2.717800589747844,2.713376315459891
chan-envelope.scm,705.5931659999999,75056,True,True,838.7059580000002,16544,True,True,11210.486417,93732,True,True,13.3664084654088,15.88803145664254
chan-mesg.scm,43.71925000000232,73984,True,True,44.11516600000098,14304,True,True,173.55187500000113,38032,True,True,3.9340637412539095,3.969690125059143
chan-perrig-song.scm,19.16212500000114,72240,True,True,19.346249999998122,13904,True,True,50.75570800000051,36640,True,True,2.623542443626307,2.6487515346026336
chan-unilateral.scm,19.630625000001345,72176,True,True,19.13420799999699,13856,True,True,48.80966600000036,36448,True,True,2.5509112266370284,2.4864040752648995
chan-yahalom-role-decl.scm,42.66091699999919,72784,True,True,31.915167000001077,14368,True,True,123.11716600000011,37584,True,True,3.8576381568047555,2.8859474820947346
chan-yahalom.scm,43.007124999999036,74016,True,True,43.09599999999847,14384,True,True,177.38795800000062,37804,True,True,4.116111889734706,4.1246179092418895
commitment.scm,29.986832999998825,72624,True,True,19.297334000000887,14384,True,True,61.62787499999922,37712,True,True,3.193595291453026,2.0551645117042416
comp_test.scm,91.5699169999975,73872,True,True,92.28137500000244,15408,True,True,279.6371250000007,40820,True,True,3.030266128999414,3.053809964685327
completeness-test.scm,29.775875000002117,72704,True,True,19.21787499999894,14272,True,True,64.5360420000003,36932,True,True,3.358125807354031,2.167393636626823
crushing.scm,43.43137500000083,72736,True,True,31.648042000000487,14272,True,True,149.1739590000023,40340,True,True,4.7135288495888625,3.434704956957947
dass_simple.scm,19.232166000001882,72832,True,True,19.022333999998864,14272,True,True,61.097958000001285,37184,True,True,3.211906488446945,3.176863074080959
denning-sacco.scm,30.019749999997458,73872,True,True,32.10083399999775,14320,True,True,112.93316699999778,37804,True,True,3.518075792049693,3.7619622748359776
deorig_contract.scm,19.282749999998572,72192,True,True,19.216624999998544,13952,True,True,50.233375000001246,36724,True,True,2.614058139762058,2.605093931104483
deorig_mesg.scm,19.51887499999927,72144,True,True,19.338999999998663,13920,True,True,48.41975000000076,36588,True,True,2.503735973938886,2.4806629480440123
deorig_simple.scm,19.642582999999547,72160,True,True,19.45237500000019,13952,True,True,48.68424999999732,36588,True,True,2.502740667913139,2.4785055000148626
dev-subatomic-open-closed.scm,608.5046249999983,75136,True,True,618.211500000001,15472,True,True,1698.527291999998,43552,True,True,2.7474857585146752,2.791313692973168
devlocn.scm,397.7602909999973,76096,True,True,416.405000000001,17424,True,True,1143.8438749999982,40264,True,True,2.7469503848416696,2.8757115802693485
dh-ca_hack.scm,356.7994160000012,81216,True,True,1672.8655420000002,19568,True,True,10368.222375000001,90180,True,True,6.197881488194345,29.05896677532669
dh_encrypt_hack.scm,30.68512499999798,72768,True,True,19.425083000001564,14272,True,True,62.627875000003996,37368,True,True,3.2240724531266585,2.04098484200433
dh_group_sig.scm,65.61579199999557,73968,True,True,67.91970900000166,15424,True,True,218.08200000000255,38648,True,True,3.2108794812415526,3.3236206308386445
dh_group_sig_auth_failure.scm,32.87454199999473,72864,True,True,32.84437499999626,14432,True,True,105.0794169999989,37956,True,True,3.1993124241216604,3.1963766065551797
dh_mim_hack.scm,19.12866700000393,72736,True,True,19.760333999997215,14352,True,True,78.48387500000342,39436,True,True,3.9717888877796543,4.102945333304579
dhnsl_hack.scm,31.910707999998067,73776,True,True,31.28162500000542,14288,True,True,105.96745799999496,37692,True,True,3.3875304751583912,3.3207491980435337
dhstatic-state.scm,1866.184292,76128,True,True,1969.2911670000015,16640,True,True,8155.474250000005,48332,True,True,4.1413247500744,4.370133370514944
disclosure.scm,21.34137500000577,72416,True,True,19.778125000001978,14048,True,True,55.13741700000452,36904,True,True,2.7877979838836597,2.5835925285971317
doorsep.scm,18.700291999998342,72480,True,True,21.032167000001323,14160,True,True,57.47245799999945,37440,True,True,2.7325980247302066,3.0733454857284874
doorsep2invk.scm,20.889999999994302,72368,True,True,19.784957999995356,14096,True,True,55.93433300000328,37448,True,True,2.8271140631188807,2.6775650071813564
encsig.scm,33.558459000005314,72704,True,True,31.141208000001086,14352,True,True,104.35650000000152,38084,True,True,3.3510742422065927,3.1096928497218834
envelope.scm,826.3699580000008,75040,True,True,977.0417920000014,16672,True,True,11870.925499999998,104660,True,True,12.149864619097052,14.365146488057576
epmo-hash.scm,67.73854200000073,73792,True,True,66.75541699999599,14288,True,True,280.6229999999914,39508,True,True,4.203748738473288,4.142737527477169
epmo-key-hash.scm,68.69012500000338,73936,True,True,68.82320900000138,14352,True,True,277.40191700000594,39592,True,True,4.0306449093357495,4.038454100935066
epmo.scm,79.0311250000002,73712,True,True,90.86775000000102,14480,True,True,312.02766600000587,39964,True,True,3.4338658765073675,3.948161765380476
epmo_acctnum-key-hash.scm,77.71141700000328,73872,True,True,81.8479170000046,14288,True,True,462.2269160000059,41588,True,True,5.647387654348979,5.9479923780052335
expand.scm,19.389834000008932,70304,True,True,19.121249999997758,12016,True,True,44.95745799999895,32908,True,True,2.3511777734198454,2.318609741577893
facts.scm,19.184082999998964,72800,True,True,19.50699999999017,14368,True,True,54.68154099999367,37404,True,True,2.8031753216804853,2.850359905135764
factvar.scm,19.242916999999693,72272,True,True,20.62779199999909,13984,True,True,47.68637500001205,36448,True,True,2.311753725266095,2.4781261073886465
ffgg.scm,31.92233300001135,72576,True,True,31.99562500000752,14288,True,True,134.07370899999194,38360,True,True,4.190376309259794,4.199997193185857
fluffy_draft03_gske.scm,30.247541999997907,72880,True,True,31.249833000003946,14336,True,True,99.72279100000492,37600,True,True,3.1911463654859316,3.2968890827562722
fragile_pruning.scm,970.7877079999889,89408,True,True,3899.5117919999984,25712,True,True,25679.08575,59056,True,True,6.585205307669963,26.45180355950726
goals.scm,44.15770899998961,73824,True,True,31.45929100000444,14384,True,True,110.20933299998603,38332,True,True,3.503236388892886,2.495811841144475
goalsvar.scm,42.32158400000685,73776,True,True,31.43512499998735,14384,True,True,120.91474999999718,38428,True,True,3.846485420371188,2.8570468912500444
hashtest-key-hash.scm,20.180874999994103,72240,True,True,19.80025000000296,13936,True,True,49.012500000003456,36604,True,True,2.475347533490543,2.4286607989008298
hashtest.scm,19.560834000003524,72112,True,True,18.43358300000375,13920,True,True,48.537874999993846,36628,True,True,2.6331221119618453,2.481380650742453
incompleteness_example.scm,19.46149999999136,72288,True,True,19.28795800000671,13920,True,True,50.33316700000512,36748,True,True,2.6095643198718914,2.5862943246937524
isoreject-corrected.scm,19.292375000006246,72144,True,True,19.4848750000034,13936,True,True,50.28441600001088,36900,True,True,2.5806896887971877,2.606439901774385
isoreject.scm,19.38379199999929,72688,True,True,19.136125000002835,14272,True,True,55.68195799999387,36828,True,True,2.9097823096361264,2.8726039775909644
kelly1.scm,32.94895900000938,72720,True,True,41.28012500000011,14464,True,True,107.807667000003,38444,True,True,2.611611931892229,3.2719597301988297
kerberos.scm,68.74304200000836,74000,True,True,132.90854199999558,14352,True,True,563.1310839999912,39920,True,True,4.236981878862308,8.191826657888122
lemmas.scm,19.822375000003944,72800,True,True,19.809124999994765,14352,True,True,64.14562499999477,37816,True,True,3.238185684628257,3.236021162952573
locn_envelope.scm,27226.42333399999,75136,True,True,26939.001417000014,15712,True,True,87456.982708,92632,True,True,3.24648198180092,3.212209757966442
missing_contraction.scm,29.801500000019132,72640,True,True,19.988665999989053,14272,True,True,55.085125000005064,36780,True,True,2.7558179720465206,1.848401087192581
neq_test.scm,19.163374999976668,72352,True,True,19.37700000001996,14080,True,True,47.63729200001876,36708,True,True,2.4584451669489438,2.4858508483018653
neuman-stubblebine.scm,43.753707999997005,72736,True,True,43.825458000014805,14304,True,True,188.45841699999255,38980,True,True,4.300204164436317,4.307255901602796
no_contraction.scm,19.183583000000226,72288,True,True,18.59258300001443,13920,True,True,47.079459000002544,36516,True,True,2.532163443883295,2.454153585386108
non_transforming.scm,32.176334000013185,72896,True,True,31.653374999990547,14336,True,True,122.25424999999746,38052,True,True,3.862281668227605,3.7995083591545065
nonaug-prune.scm,31.360042000017074,73936,True,True,43.98920799999928,14320,True,True,175.4120840000155,40536,True,True,3.9876163262593494,5.593490085246697
ns-l.scm,18.497832999997854,72768,True,True,18.757832999995117,14304,True,True,73.12658400002192,37616,True,True,3.898455861081659,3.953251388961637
ns-rebinding.scm,80.80325000000244,73904,True,True,68.96633299999166,14416,True,True,230.72487500002126,38720,True,True,3.345471115595622,2.855391026970008
ns.scm,29.67516700002193,72784,True,True,31.540042000017365,14304,True,True,95.33670900000857,37832,True,True,3.0227197858505095,3.212676410546843
nsl3.scm,188.712124999995,74976,True,True,269.73154099999874,15344,True,True,1334.0049159999978,50168,True,True,4.945676397555613,7.0689941941994086
nslsk.scm,20.68820799999571,72720,True,True,19.41237499997328,14336,True,True,55.81483299999945,36952,True,True,2.8752191836432317,2.6979056378402144
open-closed-multiloc.scm,269.7919579999848,74048,True,True,266.6505410000184,15440,True,True,915.1319579999893,40644,True,True,3.4319523769498974,3.391991239412855
open-closed-tag.scm,591.5960000000098,74096,True,True,703.5756670000239,15488,True,True,2488.3572499999786,41736,True,True,3.5367301154829365,4.206176596866675
open-closed.scm,466.2439999999606,74016,True,True,455.1468340000042,15488,True,True,2029.329917000041,40816,True,True,4.458626898852651,4.352506234933238
or.scm,32.12604099996952,72784,True,True,44.62220900001057,14336,True,True,133.30033299996558,38704,True,True,2.9873091446444078,4.149292251730988
ordered.scm,19.404249999979584,72192,True,True,19.200624999996307,13936,True,True,47.33816600003138,36616,True,True,2.4654492236601926,2.439577206028637
orderedvar.scm,19.393707999995513,72272,True,True,19.289165999964553,13952,True,True,47.87712499995678,36600,True,True,2.482073356621264,2.4686937124126986
pca.scm,57.09324999997989,73904,True,True,56.452000000035696,14336,True,True,297.7282079999668,41588,True,True,5.274006377095206,5.2147707128263265
pen-non-orig-test.scm,19.222833000014816,72256,True,True,19.11933400003818,13856,True,True,48.872416999984125,36596,True,True,2.5561777936347854,2.54241489794696
pfs-via-pubkey.scm,19.627500000012787,72272,True,True,18.8519160000169,13968,True,True,52.012375000003885,36980,True,True,2.7589967513093767,2.6499745255366194
pkinit.scm,19.513917000040237,72128,True,True,19.157458999984556,13936,True,True,49.801833000003626,36784,True,True,2.599605354762538,2.5521187263377687
preprocess.scm,19.564083999966897,72320,True,True,19.31491699997423,13952,True,True,55.4222910000135,36968,True,True,2.8694035288936237,2.832858977711774
print.scm,19.46941699998206,71952,True,True,19.276624999974956,13712,True,True,47.08154099995454,35596,True,True,2.4424161905943444,2.418230653747769
prottrans.scm,29.647417000035148,72752,True,True,19.63187499995911,14336,True,True,71.73225000002503,37740,True,True,3.6538664799044636,2.419510947612738
pruning1.scm,19.298750000018572,72688,True,True,19.088791999990917,14304,True,True,54.60641700000224,37112,True,True,2.860653361408528,2.8295312908841086
puzzle_example.scm,19.303959000012583,72640,True,True,19.315833000007387,14304,True,True,60.105291000013494,36984,True,True,3.1117110507214734,3.1136250859201637
reflect.scm,19.233165999992252,72608,True,True,19.06874999997399,14272,True,True,67.45104099996979,37204,True,True,3.537255509672202,3.5070170454514336
renamings.scm,17.742749999968055,72320,True,True,19.112582999980532,13968,True,True,49.14695899998378,36812,True,True,2.5714451573622386,2.769974158463162
